
Robostan,C			Ang	CF	.563	20	64	28	36	5	3	1	33	13	1	0	1	0	21	3	0	0
Doyle,A				Dod	C	.509	18	55	22	28	5	3	2	31	6	0	8	2	2	7	3	1	5
Fader,A				Gia	C	.477	24	86	34	41	8	3	0	30	10	0	3	1	0	13	1	1	5
Enquist,R			Gia	2B	.464	19	56	22	26	5	2	0	24	9	1	2	0	0	9	1	1	9
Tovar,L				Gia	RF	.460	20	63	26	29	6	3	0	22	8	9	4	0	0	8	3	1	2
Wanvig,S			Ind	SS	.442	24	77	25	34	7	1	0	21	8	4	4	2	0	15	1	0	11
Anderson,J			Ind	1B	.441	22	59	15	26	3	1	0	20	6	2	1	3	0	9	0	1	4
Hodge,D				Ang	1B	.440	22	75	26	33	4	0	0	24	14	0	1	0	0	5	1	0	2
Thomson,C			Roc	LF	.436	19	55	19	24	3	2	0	9	10	2	9	1	0	10	2	0	2
Stuckey,J			Ang	1B	.429	18	56	19	24	8	1	0	18	4	4	9	1	0	10	1	1	0
Garvey,A			Gia	CF	.418	24	67	25	28	7	4	0	26	11	2	7	3	0	5	0	1	1
Sicotte,D			Gia	1B	.409	24	66	12	27	2	0	0	17	8	1	9	1	0	6	1	2	4
Ryan,J	    		Ang	2B	.407	22	59	25	24	5	0	0	5	12	6	8	0	1	14	5	2	4
Muise,K				Dod	2B	.407	24	81	34	33	10	3	0	24	8	4	6	3	0	9	2	0	5
Korman,M			Gia	C	.407	18	59	24	24	6	5	0	21	11	0	6	0	1	7	1	0	4
Pellett,L			Gia	2B	.400	20	60	21	24	5	0	0	16	7	0	8	1	1	3	3	0	8
Hodge,M				Ang	SS	.397	21	63	20	25	4	0	0	12	10	2	12	1	0	17	1	2	4
Garcia-Morales,J	Dod	3B	.391	23	69	24	27	6	1	1	21	13	0	16	1	0	13	2	1	1
Gorchynski,A		Dod	SS	.377	23	69	29	26	3	0	0	20	18	0	5	1	0	23	0	1	8
Beggs,K				Ind	1B	.361	22	61	19	22	3	2	0	14	9	0	9	1	1	12	1	0	4
Gill,R				Ind	C	.359	24	64	15	23	7	2	0	8	9	9	10	0	0	4	0	1	4
Thompson,N			Ang	3B	.359	20	64	20	23	1	0	0	12	6	1	11	0	1	3	0	0	4
Kavanaugh,H			Ind	2B	.338	23	65	25	22	4	2	0	4	14	3	18	0	0	16	2	1	9
Rodriguez,M			Dod	SS	.329	24	73	17	24	8	2	1	19	8	2	14	3	0	6	3	1	9
Kelly,E				Ang	3B	.327	21	52	19	17	1	0	0	9	12	2	8	0	1	5	1	4	3
Contini,G			Dod	CF	.324	22	68	22	22	6	0	0	8	11	4	14	0	0	15	2	1	0
Singer,A			Roc	SS	.313	23	67	22	21	1	0	0	5	11	5	6	0	0	21	0	0	14
Lorenzo,P			Ang	SS	.311	21	61	25	19	3	0	0	18	11	7	14	1	1	8	2	0	9
Gregory,R			Edm	2B	.309	22	55	13	17	5	0	0	6	14	1	4	1	0	6	1	0	11
Matheson,C			Pir	3B	.306	21	62	9	19	3	1	0	17	9	1	18	0	0	3	3	2	4
Ruchlewicz,S		Ind	CF	.305	24	59	12	18	6	0	0	13	6	1	20	2	0	3	0	2	4
Rahal,S				Roc	3B	.305	22	59	18	18	2	3	0	15	6	2	5	0	0	6	1	1	7
Jones,T				Edm	2B	.298	21	57	18	17	3	0	0	9	6	2	8	1	0	12	2	1	3
Boleychuk,J			Ang	SS	.298	22	47	20	14	3	0	0	15	15	3	13	2	0	4	0	0	3
Hartl,B				Dod	1B	.291	21	55	14	16	2	0	0	13	9	0	14	1	0	4	0	0	2
Walroth,K			Pir	CF	.288	21	59	14	17	3	0	0	10	7	1	13	0	0	6	1	0	10
Jones,K				Roc	1B	.288	22	59	9	17	3	0	0	8	7	3	15	2	0	2	1	1	3
Mombourquette,A		Ang	SS	.276	17	58	13	16	5	0	0	8	5	2	7	1	0	7	2	1	3
Curtis,W			Roc	CF	.269	20	52	21	14	3	1	0	11	15	0	15	3	0	7	0	1	3
Adam,P				Edm	SS	.241	22	58	15	14	2	0	0	4	11	0	14	0	0	17	0	1	0
Isaman,J			Pir	SS	.230	23	61	11	14	1	0	0	7	9	0	13	1	0	9	1	0	8
Jones,L				Roc	RF	.182	23	55	9	10	0	0	0	10	13	0	11	0	0	11	3	0	2
David,C				Ind	3B	.143	22	49	7	7	0	0	0	12	15	1	3	1	0	1	0	0	8
